"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.26509013782094,0.981,0.721,0,"0","ENSMUSG00000022582.4"
0,1.08103383228097,0.999,0.883,0,"0","ENSMUSG00000051748.2"
0,1.20481096265788,1,0.903,0,"0","ENSMUSG00000054905.2"
0,1.07648868427495,0.999,0.921,0,"0","ENSMUSG00000059108.4"
6.63656196849447e-301,0.669390417689524,1,1,1.30600902978003e-296,"0","ENSMUSG00000056054.9"
1.3338498157577e-297,0.794338048117483,1,0.985,2.62488305242959e-293,"0","ENSMUSG00000079597.2"
1.05461718492871e-278,1.04338572514288,1,0.91,2.07538115822122e-274,"0","ENSMUSG00000032496.7"
2.24827710214817e-272,0.879475693217579,1,0.995,4.42438450931738e-268,"0","ENSMUSG00000071561.2"
9.52761657127057e-269,0.803694762814191,1,0.957,1.87493966506034e-264,"0","ENSMUSG00000024659.15"
9.77008093147147e-249,0.911657630920973,0.999,0.785,1.92265422650427e-244,"0","ENSMUSG00000022902.8"
1.5819039950052e-235,1.4082597328924,0.859,0.542,3.11302887177074e-231,"0","ENSMUSG00000056091.12"
4.19520189691074e-234,0.634767946807779,1,1,8.25573781293064e-230,"0","ENSMUSG00000056071.12"
1.05475140541125e-230,0.697208280335485,1,0.984,2.07564529070879e-226,"0","ENSMUSG00000069516.8"
1.14871064572263e-228,0.99377520075865,0.992,0.682,2.26054767971757e-224,"0","ENSMUSG00000079594.2"
5.85147002773085e-214,0.789727202810431,1,0.949,1.15151078675715e-209,"0","ENSMUSG00000026822.14"
4.1494287740032e-204,0.810218852654595,1,0.998,8.16566088436089e-200,"0","ENSMUSG00000038357.10"
3.402342375644e-201,1.46483417156833,0.735,0.413,6.69546956102983e-197,"0","ENSMUSG00000020034.7"
2.32378899519845e-195,1.19036979185165,0.846,0.523,4.57298436365103e-191,"0","ENSMUSG00000033213.16"
2.44827519016948e-195,1.05787383523291,0.863,0.527,4.81796074673452e-191,"0","ENSMUSG00000032094.8"
2.64514116752372e-187,0.769899672921141,0.999,0.841,5.20537330356994e-183,"0","ENSMUSG00000059657.5"
9.38179255514979e-185,0.377722548366886,0.997,0.945,1.84624295692793e-180,"0","ENSMUSG00000027907.4"
4.19284592429442e-168,0.48939603631362,0.999,0.948,8.25110149441899e-164,"0","ENSMUSG00000024953.17"
6.46908057809296e-168,1.21426962500414,0.79,0.497,1.27305036696291e-163,"0","ENSMUSG00000030214.7"
1.14102626550295e-165,0.79853680258841,0.97,0.814,2.24542558788326e-161,"0","ENSMUSG00000029455.14"
1.91421585551094e-159,0.491926363517206,0.999,0.961,3.76698538205999e-155,"0","ENSMUSG00000030220.13"
2.06331883945445e-149,0.712602788306771,1,0.999,4.06040514416241e-145,"0","ENSMUSG00000032484.8"
1.01250453757446e-137,0.985852468137805,0.623,0.309,1.99250767949278e-133,"0","ENSMUSG00000040152.8"
6.58028408996094e-134,0.739815642401768,0.956,0.827,1.29493410606341e-129,"0","ENSMUSG00000031708.17"
1.82074478300839e-128,0.792355062332379,0.906,0.692,3.58304365848221e-124,"0","ENSMUSG00000052270.7"
3.26535106931313e-126,0.96052707051901,0.818,0.602,6.42588436930131e-122,"0","ENSMUSG00000026879.14"
5.99240364665645e-125,0.539296290872589,0.999,0.917,1.17924511362552e-120,"0","ENSMUSG00000030413.7"
2.30596612101353e-120,1.44912734910585,0.64,0.411,4.53791072954252e-116,"0","ENSMUSG00000097378.8"
8.63492803052376e-112,0.769407827894688,0.638,0.338,1.69926748712677e-107,"0","ENSMUSG00000017737.2"
1.9714242702232e-110,0.557058159750439,0.981,0.842,3.87956582137224e-106,"0","ENSMUSG00000015340.10"
1.47362687228658e-109,0.509315850155821,0.879,0.63,2.89995032197276e-105,"0","ENSMUSG00000037095.8"
5.56802174409325e-105,0.421910219585459,0.997,0.937,1.09573099902011e-100,"0","ENSMUSG00000000682.7"
2.08413839900834e-101,0.680956630421647,0.932,0.733,4.10137595540851e-97,"0","ENSMUSG00000029484.12"
4.99670969182234e-101,0.638154575158729,0.929,0.822,9.83302500253718e-97,"0","ENSMUSG00000030403.9"
8.57874600626244e-101,0.703138249157112,0.884,0.679,1.68821142657239e-96,"0","ENSMUSG00000025236.11"
6.94501417999302e-100,0.672002909043924,0.922,0.768,1.36670934048083e-95,"0","ENSMUSG00000046908.5"
5.68993482008728e-98,0.375604957769379,0.988,0.9,1.11972227324498e-93,"0","ENSMUSG00000050335.17"
2.12813303148884e-95,0.951136010830254,0.807,0.676,4.18795299266688e-91,"0","ENSMUSG00000022026.7"
6.12549951232895e-95,1.30868766101658,0.613,0.413,1.20543704903121e-90,"0","ENSMUSG00000024667.12"
1.72501875014397e-93,0.66125724626135,0.847,0.665,3.39466439840831e-89,"0","ENSMUSG00000056737.14"
3.02206763778245e-89,0.527710233642545,0.967,0.851,5.94712690439207e-85,"0","ENSMUSG00000021957.7"
2.34073853909981e-88,1.24956235649375,0.631,0.447,4.60633937109452e-84,"0","ENSMUSG00000043207.10"
1.00691869028189e-86,0.573132362727843,0.613,0.349,1.98151529060574e-82,"0","ENSMUSG00000102070.1"
1.65967008078618e-82,0.415179414312781,0.988,0.91,3.26606475197911e-78,"0","ENSMUSG00000060791.15"
5.19835305300915e-81,0.579577643930813,0.92,0.67,1.02298389730167e-76,"0","ENSMUSG00000052212.6"
3.66130352619076e-80,0.56381372871005,0.9,0.659,7.2050792091908e-76,"0","ENSMUSG00000064246.10"
3.4430701000927e-79,0.578727573422813,0.85,0.67,6.77561764997243e-75,"0","ENSMUSG00000100862.1"
4.42019236606272e-78,0.457542568960053,0.964,0.893,8.69849655717483e-74,"0","ENSMUSG00000024725.13"
1.26494640542603e-77,0.397453095026524,0.624,0.387,2.48928803123788e-73,"0","ENSMUSG00000030126.17"
9.99444972133654e-76,0.424904207054983,0.962,0.838,1.96680776066182e-71,"0","ENSMUSG00000008540.11"
5.41089117019665e-74,0.969378915571982,0.633,0.445,1.064809273383e-69,"0","ENSMUSG00000071562.6"
1.93980089680209e-72,0.761449992796696,0.766,0.664,3.81733418481683e-68,"0","ENSMUSG00000037822.12"
1.80349522311293e-71,0.40817596123082,0.817,0.614,3.54909824956393e-67,"0","ENSMUSG00000089989.10"
1.26696684026404e-68,0.667664063827731,0.822,0.714,2.4932640449556e-64,"0","ENSMUSG00000030876.7"
7.48621048435648e-68,0.466516504722251,0.498,0.258,1.47321136121651e-63,"0","ENSMUSG00000082399.1"
3.27108161140656e-67,0.439906541496087,0.923,0.755,6.43716150308697e-63,"0","ENSMUSG00000047139.9"
8.41888308278836e-66,0.266530111783127,0.912,0.808,1.65675200186192e-61,"0","ENSMUSG00000101111.1"
8.00798496185222e-65,0.283681825305871,0.992,0.906,1.5758913606429e-60,"0","ENSMUSG00000060063.9"
3.73844230099806e-63,0.924244812044784,0.652,0.507,7.35688060413408e-59,"0","ENSMUSG00000028228.5"
2.45576216917578e-61,0.512879146901766,0.951,0.838,4.83269437272101e-57,"0","ENSMUSG00000050552.8"
4.73342437818247e-60,0.534272220269714,0.801,0.669,9.31490583382528e-56,"0","ENSMUSG00000021094.10"
1.08494596789303e-59,0.643121840242689,0.8,0.634,2.13506517021669e-55,"0","ENSMUSG00000026922.13"
2.91805926953072e-58,0.628779562143135,0.79,0.67,5.74244883650951e-54,"0","ENSMUSG00000117379.1"
6.32041663123493e-57,0.95906737761121,0.503,0.322,1.24379478886072e-52,"0","ENSMUSG00000054169.7"
4.10785730589806e-55,1.16370657736834,0.353,0.188,8.08385239227679e-51,"0","ENSMUSG00000025330.6"
7.66672638367699e-55,0.531461970272109,0.852,0.734,1.50873508504379e-50,"0","ENSMUSG00000015950.13"
2.50084497209899e-53,0.462407920155556,0.92,0.751,4.92141282059359e-49,"0","ENSMUSG00000041754.5"
2.25339891776832e-51,0.935086702053611,0.571,0.439,4.43446373027627e-47,"0","ENSMUSG00000096054.3"
2.88265653742816e-50,0.804796406467675,0.661,0.553,5.67277980000487e-46,"0","ENSMUSG00000022540.16"
3.11143968785089e-50,0.476849611755338,0.845,0.742,6.12300216172177e-46,"0","ENSMUSG00000017002.14"
4.32475984488175e-50,0.498741238936839,0.566,0.366,8.51069489874279e-46,"0","ENSMUSG00000005800.3"
4.3281896625824e-50,0.305732358434805,0.77,0.571,8.51744443699591e-46,"0","ENSMUSG00000050621.7"
7.26866854566456e-50,0.627010608565825,0.737,0.577,1.43040128310133e-45,"0","ENSMUSG00000015889.8"
8.38567068083514e-50,0.33903053467074,0.914,0.846,1.65021613328155e-45,"0","ENSMUSG00000021998.16"
1.34606629133387e-49,0.452711052999931,0.82,0.679,2.64892385471592e-45,"0","ENSMUSG00000030342.8"
2.08574380136378e-49,0.670309191970785,0.715,0.619,4.10453522670378e-45,"0","ENSMUSG00000030263.13"
2.14825512233542e-49,0.508026726079639,0.854,0.767,4.22755125524387e-45,"0","ENSMUSG00000073155.12"
7.42951247361403e-49,0.689439653197624,0.652,0.514,1.46205375968251e-44,"0","ENSMUSG00000101609.2"
7.68502217326016e-49,0.575288712411084,0.776,0.634,1.51233551347587e-44,"0","ENSMUSG00000046841.5"
1.87563132273695e-48,0.539840539737838,0.808,0.687,3.69105488001403e-44,"0","ENSMUSG00000060216.15"
4.61415904931414e-45,0.385228243646064,0.978,0.832,9.0802035931453e-41,"0","ENSMUSG00000015932.8"
1.99119607268597e-43,0.516398174287746,0.256,0.119,3.91847475143871e-39,"0","ENSMUSG00000084416.3"
4.06292887135847e-42,0.401925057501511,0.889,0.782,7.99543772594633e-38,"0","ENSMUSG00000064109.8"
1.40431771492256e-41,0.321611509497958,0.877,0.801,2.76355683119611e-37,"0","ENSMUSG00000021591.8"
1.88881210964864e-41,0.502865694181136,0.739,0.643,3.71699335057755e-37,"0","ENSMUSG00000021069.17"
6.81566674552072e-39,0.473805496453152,0.778,0.697,1.34125505885102e-34,"0","ENSMUSG00000071637.5"
6.07040704934847e-38,0.515403866022651,0.719,0.627,1.19459540324129e-33,"0","ENSMUSG00000046223.10"
1.65195461307867e-37,0.734819693073621,0.591,0.483,3.25088148307752e-33,"0","ENSMUSG00000026113.17"
2.05167872870661e-36,0.445375408996597,0.641,0.461,4.03749857022174e-32,"0","ENSMUSG00000093989.1"
4.56073349287978e-36,0.805393421599017,0.507,0.368,8.97506744063813e-32,"0","ENSMUSG00000039196.2"
5.79888712362959e-35,0.503858636367453,0.757,0.699,1.14116299705907e-30,"0","ENSMUSG00000026568.6"
9.18776518978917e-35,0.318955128056881,0.924,0.844,1.80806031169861e-30,"0","ENSMUSG00000034786.17"
1.13997622137736e-34,0.261968199105848,0.925,0.825,2.24335920604851e-30,"0","ENSMUSG00000013974.3"
2.08790551823191e-34,1.21280248784143,0.293,0.177,4.10878926932858e-30,"0","ENSMUSG00000037573.5"
5.76639637678549e-34,0.434807530312503,0.675,0.567,1.13476914298762e-29,"0","ENSMUSG00000009633.3"
1.10749232734402e-32,1.19691156376382,0.36,0.245,2.17943415098031e-28,"0","ENSMUSG00000021918.10"
1.21673922407437e-32,0.779487114462589,0.436,0.314,2.39442111905596e-28,"0","ENSMUSG00000045730.4"
1.5728717837739e-32,1.23501643781137,0.325,0.21,3.09525438328865e-28,"0","ENSMUSG00000097113.7"
