"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000027951.16",0.000126954136028767,1.59295914174719,0.097,0.047,1
"ENSMUSG00000002325.15",1.36836211824662e-19,1.59230819573077,0.274,0.092,2.69279981249752e-15
"ENSMUSG00000045868.12",2.17047334170104e-07,1.58559274810314,0.079,0.021,0.00427127448913348
"ENSMUSG00000027078.14",4.38559972581084e-24,1.5519121626269,0.384,0.15,8.63042170042315e-20
"ENSMUSG00000025193.14",0.00033327772865176,1.55141492250832,0.053,0.019,1
"ENSMUSG00000026104.14",2.81886642637504e-22,1.54741609479745,0.327,0.117,5.54724724046344e-18
"ENSMUSG00000063268.12",2.9373292363378e-09,1.52716085923509,0.132,0.045,5.78037020418916e-05
"ENSMUSG00000106734.3",8.57480366817009e-17,1.5057234525777,0.27,0.102,1.68743561385919e-12
"ENSMUSG00000061983.7",2.28097003205807e-51,1.4951371051404,0.892,0.652,4.48872092608707e-47
"ENSMUSG00000032512.7",0.046964801882171,1.4886451577155,0.075,0.052,1
"ENSMUSG00000091993.2",0.000653334258703428,1.47803537718672,0.051,0.019,1
"ENSMUSG00000041974.10",0.0104918330084805,1.4538342698627,0.05,0.025,1
"ENSMUSG00000026222.16",1.36237042797137e-40,1.44223348341721,0.594,0.24,2.68100876520485e-36
"ENSMUSG00000024926.10",0.00320585956859912,1.42688326150333,0.103,0.063,1
"ENSMUSG00000024054.14",7.45455626342939e-05,1.41604249643015,0.083,0.035,1
"ENSMUSG00000078606.8",2.44005853576974e-07,1.41519119282141,0.081,0.022,0.00480179119254127
"ENSMUSG00000113921.1",0.00110981925495174,1.39761891841704,0.05,0.019,1
"ENSMUSG00000038642.10",2.11956637976671e-05,1.37105935242773,0.088,0.035,0.417109467874291
"ENSMUSG00000110537.1",0.260832007509075,1.36387005263461,0.061,0.048,1
"ENSMUSG00000001642.18",0.0136467606910174,1.34143756313508,0.061,0.034,1
"ENSMUSG00000026088.15",1.22977531755667e-11,1.33620932924066,0.21,0.086,2.42007484741977e-07
"ENSMUSG00000030890.16",7.48480057132071e-09,1.29693509939743,0.358,0.26,0.00014729339044302
"ENSMUSG00000051095.7",9.06894264091877e-11,1.28807838144011,0.171,0.063,1.78467722230641e-06
"ENSMUSG00000029145.12",0.00558812695320538,1.28532398627979,0.057,0.028,1
"ENSMUSG00000066278.6",0.0743840992181434,1.28095104540255,0.119,0.095,1
"ENSMUSG00000035757.16",0.00302568045334119,1.2799751802604,0.202,0.158,1
"ENSMUSG00000066258.13",0.00467832243456097,1.26595312174826,0.072,0.038,1
"ENSMUSG00000029322.12",4.35422549358376e-56,1.25426107544103,0.956,0.771,8.56868034882348e-52
"ENSMUSG00000026563.13",0.218639959028605,1.2523104280565,0.068,0.054,1
"ENSMUSG00000079419.4",2.31671805180786e-05,1.23648433072034,0.085,0.034,0.455906945415268
"ENSMUSG00000052749.9",2.45577501040431e-05,1.22985861447538,0.05,0.012,0.483271964297464
"ENSMUSG00000027255.14",0.0148173180366027,1.2235419681054,0.127,0.091,1
"ENSMUSG00000047098.18",0.000383934925090925,1.20937064388541,0.05,0.017,1
"ENSMUSG00000005410.6",0.0104762122057138,1.20933469300784,0.064,0.035,1
"ENSMUSG00000067038.6",8.33013211028621e-08,1.19856416738715,0.39,0.269,0.00163928669798322
"ENSMUSG00000027637.3",1.9039544060744e-51,1.19759070517308,0.853,0.735,3.74679187571381e-47
"ENSMUSG00000095609.2",1.02773748304315e-29,1.19410791022224,0.688,0.391,2.02248459288061e-25
"ENSMUSG00000049401.10",8.21847818446047e-13,1.18706195573541,0.287,0.135,1.61731432191998e-08
"ENSMUSG00000050697.9",0.00297944859142464,1.18665896545013,0.064,0.031,1
"ENSMUSG00000005982.14",0.25727282348711,1.18323494312011,0.119,0.107,1
"ENSMUSG00000035632.16",0.0916720297110955,1.16791435190512,0.077,0.057,1
"ENSMUSG00000069892.9",1.46684425228463e-05,1.16252943311763,0.101,0.043,0.288660280407092
"ENSMUSG00000078087.5",1.60758148469186e-08,1.15618611356917,0.438,0.303,0.000316355960372511
"ENSMUSG00000078763.2",8.6671357970319e-29,1.15123651238499,0.625,0.347,1.70560565349791e-24
"ENSMUSG00000026470.14",0.460458000876575,1.13285440469559,0.05,0.042,1
"ENSMUSG00000026923.15",0.0895380867819386,1.1321713700647,0.123,0.099,1
"ENSMUSG00000017830.15",9.00845424091703e-05,1.1212471419646,0.125,0.065,1
"ENSMUSG00000070034.13",1.73437179265922e-12,1.11752609805541,0.41,0.263,3.41307025077408e-08
"ENSMUSG00000011267.8",7.87430832231228e-05,1.11732972415316,0.066,0.024,1
"ENSMUSG00000030760.14",0.0092954099809028,1.11413605484402,0.074,0.042,1
"ENSMUSG00000037085.8",0.00371688641607393,1.10955943449282,0.059,0.028,1
"ENSMUSG00000063754.7",0.00114575493785694,1.10879146085297,0.055,0.022,1
"ENSMUSG00000043279.9",0.022139007656845,1.10851273688518,0.051,0.028,1
"ENSMUSG00000014547.10",0.0134351994881366,1.1007348684967,0.055,0.029,1
"ENSMUSG00000040204.6",4.33247326065065e-06,1.10064940982087,0.261,0.166,0.0852587412963442
"ENSMUSG00000032596.14",1.29033601128098e-06,1.09596476131028,0.118,0.048,0.0253925223659984
"ENSMUSG00000027580.17",7.45659864928485e-06,1.07903240352168,0.083,0.029,0.146738404819277
"ENSMUSG00000115338.2",0.00175979141318848,1.07365855499331,0.086,0.046,1
"ENSMUSG00000031897.9",9.00824682200181e-12,1.06946719166572,0.257,0.117,1.77273289210174e-07
"ENSMUSG00000006360.11",4.11715353529056e-07,1.05445124359877,0.138,0.058,0.00810214644209829
"ENSMUSG00000035085.5",0.5346090860907,1.05017084611985,0.186,0.193,1
"ENSMUSG00000063286.7",4.58375721346715e-09,1.04812084047865,0.241,0.12,9.02037582038201e-05
"ENSMUSG00000114608.1",1.27787076175511e-09,1.04043957321445,0.327,0.191,2.51472187205789e-05
"ENSMUSG00000024397.14",0.00192182133080477,1.03677636535302,0.061,0.027,1
"ENSMUSG00000031497.9",1.35865984279552e-10,1.03171542799836,0.336,0.189,2.6737067046373e-06
"ENSMUSG00000026946.9",3.34994409094826e-09,1.03145570651339,0.195,0.085,6.59235497657708e-05
"ENSMUSG00000020415.16",4.9108437807916e-06,1.02039578041648,0.244,0.148,0.0966404947621979
"ENSMUSG00000027331.15",0.0315099603461913,1.01112649966007,0.085,0.056,1
"ENSMUSG00000024338.15",8.27727701865264e-32,1.01074578006833,0.774,0.504,1.62888534450065e-27
"ENSMUSG00000025353.5",0.475870865030028,1.00133708279885,0.086,0.104,1
"ENSMUSG00000013973.12",0.607547862127488,0.992572273943721,0.064,0.059,1
"ENSMUSG00000024308.15",2.43031765568375e-15,0.990504306381647,0.412,0.213,4.78262211462004e-11
"ENSMUSG00000006418.17",1.01358567810852e-11,0.988094388656508,0.358,0.198,1.99463525594975e-07
"ENSMUSG00000000275.16",0.00135966409062555,0.98245744298488,0.064,0.029,1
"ENSMUSG00000021196.14",0.0103989726284819,0.973783609352814,0.068,0.038,1
"ENSMUSG00000021774.13",0.460833350744228,0.97291263871361,0.169,0.169,1
"ENSMUSG00000022906.15",0.000143321661777525,0.967234565374057,0.086,0.038,1
"ENSMUSG00000027366.12",0.0323935254618557,0.949334309151731,0.075,0.048,1
"ENSMUSG00000037321.17",1.61738484116523e-07,0.945698504623948,0.191,0.093,0.00318285162892905
"ENSMUSG00000032480.17",0.00510227600854273,0.942533720724254,0.062,0.031,1
"ENSMUSG00000025157.8",0.268871384828323,0.94194016158047,0.112,0.099,1
"ENSMUSG00000027360.5",4.01610359622594e-13,0.923602739214697,0.333,0.162,7.90329026701303e-09
"ENSMUSG00000039501.14",0.00401891637669279,0.919700629969494,0.07,0.036,1
"ENSMUSG00000030246.12",0.0143942269328957,0.906654381442805,0.077,0.046,1
"ENSMUSG00000052423.14",0.737359760335514,0.902951883586102,0.171,0.183,1
"ENSMUSG00000020790.14",1.88748577213644e-06,0.898547311171636,0.303,0.202,0.0371438325098731
"ENSMUSG00000079197.10",3.02452911515101e-18,0.897750256414035,0.645,0.442,5.95197084570567e-14
"ENSMUSG00000030162.14",1.32038190039484e-05,0.889985421491321,0.169,0.091,0.2598379541787
"ENSMUSG00000004221.16",0.0782330870239605,0.889116150179915,0.05,0.031,1
"ENSMUSG00000069792.5",0.00549732060278176,0.883618929981008,0.09,0.052,1
"ENSMUSG00000005615.15",0.215273297918283,0.883426661584453,0.083,0.067,1
"ENSMUSG00000018339.11",0.00208876304601296,0.879150259906569,0.112,0.066,1
"ENSMUSG00000026279.14",0.00107126535930178,0.871058010254461,0.086,0.044,1
"ENSMUSG00000046865.7",0.137611624806603,0.870674918483427,0.064,0.046,1
"ENSMUSG00000082465.1",0.0165051241853322,0.868545431653908,0.066,0.038,1
"ENSMUSG00000038623.9",1.79218946122513e-09,0.86731708035161,0.496,0.409,3.52684964074493e-05
"ENSMUSG00000034709.8",0.0309302487492746,0.860204155034441,0.051,0.029,1
"ENSMUSG00000031245.8",0.00262930613827387,0.85886077393119,0.09,0.049,1
"ENSMUSG00000110206.1",0.0534534738228279,0.855489951597752,0.053,0.033,1
"ENSMUSG00000031201.17",0.00850700202672939,0.85272723597215,0.074,0.042,1
"ENSMUSG00000001739.14",0.000133142324242337,0.849353997430211,0.188,0.116,1
"ENSMUSG00000054808.15",0.00351777851076805,0.849153625728145,0.112,0.068,1
"ENSMUSG00000029638.17",0.0697159496721677,0.841325611927197,0.057,0.037,1
"ENSMUSG00000074649.6",0.521997365460758,0.838667768814759,0.066,0.059,1
"ENSMUSG00000064147.7",0.000618617798260707,0.83803347504534,0.11,0.059,1
"ENSMUSG00000029998.14",0.0251934443166091,0.835843744104286,0.075,0.047,1
"ENSMUSG00000067951.5",6.49792043183919e-11,0.8342323021153,0.406,0.245,1.27872576178163e-06
"ENSMUSG00000072946.12",0.0508590484959318,0.833378269643067,0.096,0.068,1
"ENSMUSG00000021823.10",0.0915650860214312,0.828672973486425,0.2,0.181,1
"ENSMUSG00000068950.3",2.26008934377539e-11,0.82633833115147,0.344,0.182,4.44762981961559e-07
"ENSMUSG00000073411.12",1.11201771112156e-42,0.824905191257726,0.952,0.912,2.18833965371613e-38
"ENSMUSG00000037075.7",0.268522019116636,0.822715880838588,0.053,0.042,1
"ENSMUSG00000002968.9",0.032367426466887,0.821941772908652,0.075,0.048,1
"ENSMUSG00000004070.15",0.000363445111274489,0.816025497049099,0.224,0.155,1
"ENSMUSG00000032479.15",0.00670308133831324,0.814530508650328,0.088,0.052,1
"ENSMUSG00000048668.16",0.322359408592754,0.805563438285119,0.039,0.051,1
"ENSMUSG00000106518.1",0.0997328709123439,0.803462788778379,0.061,0.042,1
"ENSMUSG00000031389.17",0.333842465086979,0.802114948191099,0.107,0.095,1
"ENSMUSG00000020544.14",0.0922952493018199,0.801589584622381,0.051,0.034,1
"ENSMUSG00000026240.12",0.00159186739592887,0.801068521388682,0.072,0.035,1
"ENSMUSG00000002489.16",0.115181189427107,0.800885256018729,0.057,0.039,1
"ENSMUSG00000028873.16",0.0208414886483767,0.798943980160653,0.101,0.067,1
"ENSMUSG00000033450.8",0.00475370998467483,0.791238770220124,0.09,0.052,1
"ENSMUSG00000067297.5",0.000231946990992445,0.791225239366819,0.064,0.025,1
"ENSMUSG00000104351.1",0.00554577342265578,0.789988691524555,0.07,0.037,1
"ENSMUSG00000024732.7",1.3246695793828e-05,0.789946349603243,0.237,0.146,0.260681726526742
"ENSMUSG00000013736.16",0.00530331486430923,0.789831045264277,0.079,0.044,1
"ENSMUSG00000002996.17",0.137902878138281,0.789081642725411,0.184,0.164,1
"ENSMUSG00000006398.15",0.000879020755653269,0.787700454643113,0.136,0.081,1
"ENSMUSG00000001098.15",0.804992629382023,0.78743570674475,0.158,0.166,1
"ENSMUSG00000078771.10",5.19124250782893e-06,0.786317875503928,0.215,0.122,0.102158461311565
"ENSMUSG00000036931.15",0.0375269219110618,0.781138332447157,0.055,0.033,1
"ENSMUSG00000045795.10",0.00295341911867759,0.779750064279954,0.079,0.042,1
"ENSMUSG00000041126.16",5.67969161549961e-06,0.778271069360848,0.338,0.223,0.111770651301417
"ENSMUSG00000036537.6",0.00256638396603887,0.773076716593599,0.083,0.044,1
"ENSMUSG00000045237.5",0.0763910901135426,0.763038769126333,0.051,0.033,1
"ENSMUSG00000025791.18",0.029435764698699,0.755121508530878,0.077,0.049,1
"ENSMUSG00000020496.10",0.0176240485681347,0.75236819073079,0.085,0.053,1
"ENSMUSG00000001403.13",1.27679769066549e-05,0.7505932915645,0.239,0.147,0.251261017546062
"ENSMUSG00000022139.17",0.155563580857987,0.749915227891408,0.074,0.055,1
"ENSMUSG00000039615.9",0.253288243152912,0.745799189573672,0.197,0.189,1
"ENSMUSG00000032690.16",0.00134073116747192,0.744710637401814,0.083,0.042,1
"ENSMUSG00000026880.11",0.0196759286230362,0.743330146233015,0.066,0.038,1
"ENSMUSG00000035401.9",0.0698862792414241,0.742522559287039,0.059,0.038,1
"ENSMUSG00000026965.12",0.00207445497475635,0.742258908738013,0.096,0.053,1
"ENSMUSG00000038116.16",0.0366227060231196,0.737726393628919,0.079,0.052,1
"ENSMUSG00000035517.17",0.00107591276904027,0.735896645070073,0.077,0.037,1
"ENSMUSG00000054676.15",3.56552484864146e-08,0.73306992528864,0.434,0.295,0.000701659634964153
"ENSMUSG00000026399.12",0.003834029970896,0.732380070702794,0.114,0.07,1
"ENSMUSG00000002307.16",0.00557024928081259,0.731471561744834,0.086,0.049,1
"ENSMUSG00000030654.9",1.63106872593298e-07,0.730181078241507,0.506,0.38,0.00320978014576351
"ENSMUSG00000096220.2",0.287924979623364,0.730076316843578,0.05,0.038,1
"ENSMUSG00000055200.7",0.00662483610634036,0.725628266741027,0.116,0.073,1
"ENSMUSG00000022216.17",1.09401066325733e-13,0.724333722500252,0.588,0.415,2.1529035842241e-09
"ENSMUSG00000041431.16",0.302265975157198,0.722290005516967,0.053,0.042,1
"ENSMUSG00000032218.7",0.00613913615266373,0.719836297025568,0.222,0.168,1
"ENSMUSG00000030649.18",0.0269476672339592,0.717841292104698,0.127,0.092,1
"ENSMUSG00000037628.10",0.0092160707987845,0.717677717291155,0.14,0.094,1
"ENSMUSG00000009628.14",0.109393546107417,0.71756001088754,0.062,0.044,1
"ENSMUSG00000069117.4",8.62447765060971e-29,0.717443151758097,0.923,0.908,1.69721095686349e-24
"ENSMUSG00000004880.11",1.25004652082799e-10,0.71073347187916,0.647,0.58,2.45996654833741e-06
"ENSMUSG00000071054.12",0.0359925732040114,0.705293922613156,0.097,0.066,1
"ENSMUSG00000062526.4",0.0821112495762099,0.704992570138439,0.325,0.327,1
"ENSMUSG00000071748.2",0.465141798933207,0.704304382388323,0.051,0.044,1
"ENSMUSG00000047735.14",8.63740389561664e-10,0.700134685352156,0.364,0.208,1.6997547126184e-05
"ENSMUSG00000011114.18",8.15440105076449e-06,0.69968237805849,0.381,0.285,0.160470458277994
"ENSMUSG00000096727.3",4.83602529642837e-11,0.691537566567623,0.568,0.397,9.51681418084138e-07
"ENSMUSG00000045752.13",0.034840458174763,0.684985767902301,0.103,0.072,1
"ENSMUSG00000040296.15",0.000487044379585183,0.682630994547456,0.132,0.075,1
"ENSMUSG00000053094.15",0.00715291564008584,0.680067890259052,0.092,0.055,1
"ENSMUSG00000028124.15",0.0962017078356111,0.677594649612134,0.066,0.046,1
"ENSMUSG00000020831.18",0.0190442218464189,0.677329656283183,0.105,0.07,1
"ENSMUSG00000024083.16",0.0397014679414205,0.67725468515825,0.061,0.037,1
"ENSMUSG00000078945.10",0.0763501929264996,0.676312046018841,0.057,0.037,1
"ENSMUSG00000060802.8",2.46435175636448e-43,0.669797183128471,0.996,0.975,4.84959782134965e-39
"ENSMUSG00000056220.14",0.0269708887799289,0.669478740460229,0.064,0.038,1
"ENSMUSG00000027639.16",1.11643141326429e-10,0.667246990867986,0.564,0.391,2.1970253781628e-06
"ENSMUSG00000094396.3",0.0412207414973552,0.666356643706652,0.072,0.046,1
"ENSMUSG00000112580.1",0.00432652053087508,0.664525225913783,0.392,0.368,1
"ENSMUSG00000022106.14",0.258291682402946,0.664331956031556,0.147,0.131,1
"ENSMUSG00000107994.1",0.298047064580113,0.661226477254249,0.053,0.042,1
"ENSMUSG00000041571.9",0.00121515212550551,0.6570132656366,0.075,0.036,1
"ENSMUSG00000004661.15",0.00672476035991875,0.656538480780549,0.097,0.058,1
"ENSMUSG00000016528.10",0.00348771411688938,0.656282040059188,0.112,0.067,1
"ENSMUSG00000028911.16",0.91217256603004,0.655408876689909,0.105,0.108,1
"ENSMUSG00000041926.15",1.1517383434796e-08,0.653838556921439,0.432,0.286,0.000226650588613351
"ENSMUSG00000027327.16",6.33449006958031e-05,0.652362252507579,0.165,0.092,1
"ENSMUSG00000029311.16",0.0109036170872293,0.649821585108408,0.121,0.081,1
"ENSMUSG00000022742.6",0.000198167652594418,0.649313066360151,0.23,0.15,1
"ENSMUSG00000035152.14",0.0694211693008263,0.647650095235213,0.053,0.034,1
"ENSMUSG00000018707.13",0.190512800615505,0.647206867278157,0.055,0.04,1
"ENSMUSG00000020309.6",0.239245145992775,0.64718059005953,0.055,0.042,1
"ENSMUSG00000025888.6",2.87083084602146e-06,0.64647689846571,0.178,0.091,0.0564950802188563
"ENSMUSG00000079418.3",0.0156660195924568,0.641893568660792,0.062,0.035,1
"ENSMUSG00000087283.1",0.0529959097166115,0.641664245516315,0.055,0.034,1
"ENSMUSG00000023505.13",0.0588639838374448,0.635711483291777,0.085,0.058,1
"ENSMUSG00000000958.10",0.0363948774939657,0.633639388740092,0.072,0.046,1
"ENSMUSG00000096719.1",4.21224071023985e-08,0.629210484824591,0.515,0.377,0.0008289268493681
"ENSMUSG00000074272.10",3.15945363443845e-07,0.629114516872533,0.472,0.343,0.00621748880721142
"ENSMUSG00000031004.8",0.00708642111056852,0.628413880630326,0.092,0.054,1
"ENSMUSG00000034120.18",0.000135392386086365,0.626262770420722,0.54,0.541,1
"ENSMUSG00000003402.14",0.0358770439813562,0.623700367966448,0.081,0.053,1
"ENSMUSG00000044308.17",0.147549580962829,0.623368578108742,0.057,0.04,1
"ENSMUSG00000028467.15",0.011632609047933,0.623083056572984,0.09,0.055,1
"ENSMUSG00000028861.13",0.00270126811992856,0.623010883060839,0.217,0.152,1
"ENSMUSG00000035929.11",1.75695002278389e-10,0.622846948688527,0.506,0.341,3.45750194983642e-06
"ENSMUSG00000026433.13",0.00696003914994499,0.622500949929438,0.066,0.035,1
"ENSMUSG00000105373.1",0.305345577494202,0.622269469420199,0.127,0.111,1
"ENSMUSG00000029177.9",0.141438164401452,0.622150440711984,0.222,0.193,1
"ENSMUSG00000061882.12",0.00683926918324473,0.618072207861141,0.114,0.071,1
"ENSMUSG00000034480.18",0.108901589565866,0.61757024234334,0.07,0.049,1
"ENSMUSG00000068923.14",2.16180494328756e-06,0.617556472910247,0.358,0.246,0.042542159478956
"ENSMUSG00000038518.15",0.0387595734226827,0.616296592603105,0.072,0.046,1
"ENSMUSG00000085347.1",0.163765790247156,0.609296071967059,0.059,0.043,1
"ENSMUSG00000054520.15",0.0194365201919628,0.608717421208044,0.094,0.059,1
"ENSMUSG00000037761.16",0.0636726746525562,0.606888010176954,0.061,0.039,1
"ENSMUSG00000026641.13",0.00178285705192888,0.606557142435866,0.151,0.094,1
"ENSMUSG00000029863.13",0.0366943466884918,0.606396697453037,0.062,0.038,1
"ENSMUSG00000019982.15",0.0402004605046607,0.604934176058729,0.107,0.075,1
"ENSMUSG00000100768.1",0.399830497055575,0.60259599953254,0.062,0.053,1
"ENSMUSG00000029270.10",0.0408989905298434,0.600688316397346,0.077,0.051,1
"ENSMUSG00000058881.13",0.558327159501928,0.600468900749878,0.074,0.066,1
"ENSMUSG00000030681.18",0.0115468663898003,0.596476016771132,0.092,0.056,1
"ENSMUSG00000001768.16",0.0162657020732928,0.596054927257806,0.053,0.028,1
"ENSMUSG00000066682.11",3.13047833442356e-09,0.595948814724598,0.557,0.401,6.16046831431213e-05
"ENSMUSG00000028649.21",0.176339891126054,0.592474803841134,0.062,0.046,1
"ENSMUSG00000006932.17",0.788400804454514,0.590801145558164,0.112,0.112,1
"ENSMUSG00000108037.2",0.00139339426087544,0.584409542783446,0.167,0.108,1
"ENSMUSG00000115423.2",0.238528978591326,0.584220450927882,0.055,0.042,1
"ENSMUSG00000039356.15",0.345486871408448,0.583640834283566,0.081,0.067,1
"ENSMUSG00000034708.12",1.69690040026853e-08,0.583359455325418,0.585,0.434,0.000333933029768845
"ENSMUSG00000051007.15",0.101440116623639,0.582976270315816,0.132,0.104,1
"ENSMUSG00000108592.2",0.181588684186371,0.581472022841784,0.074,0.056,1
"ENSMUSG00000061331.5",0.0972369539163569,0.580749288989878,0.051,0.034,1
"ENSMUSG00000050565.16",0.0155284256858068,0.580379688968513,0.121,0.082,1
"ENSMUSG00000018983.9",0.256673795116648,0.57994438063665,0.092,0.075,1
"ENSMUSG00000018167.10",0.00026714311431571,0.577749657922305,0.197,0.121,1
"ENSMUSG00000016495.12",0.226697172956138,0.577641944876493,0.077,0.061,1
"ENSMUSG00000024258.4",0.174279919908791,0.576740099432191,0.062,0.046,1
"ENSMUSG00000022020.15",0.0466798402591892,0.575998927608433,0.05,0.029,1
"ENSMUSG00000041642.18",0.0293755852178932,0.575130157248049,0.119,0.084,1
"ENSMUSG00000009905.5",0.0636539459058971,0.573190133163078,0.081,0.056,1
