"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000003038.15",0.0608725903394222,0.142327327435554,0.989,0.987,1
"ENSMUSG00000021365.15",0.78703925970909,0.141611474253205,0.18,0.168,1
"ENSMUSG00000043131.14",0.146881571673572,0.14144973079337,0.254,0.213,1
"ENSMUSG00000028567.8",0.203931414390761,0.141273161105663,0.07,0.053,1
"ENSMUSG00000024104.11",0.557619362554781,0.141216519543463,0.149,0.166,1
"ENSMUSG00000042487.6",0.39346718717423,0.141173617858019,0.059,0.048,1
"ENSMUSG00000024393.14",0.263713848444405,0.141108850935503,0.075,0.059,1
"ENSMUSG00000090137.8",0.0278458146546899,0.141076499672052,0.974,0.955,1
"ENSMUSG00000024339.12",0.134946918922369,0.140952623422635,0.213,0.177,1
"ENSMUSG00000022808.5",0.571216857841595,0.140573099271784,0.235,0.222,1
"ENSMUSG00000116835.1",0.749904122409223,0.140206731494416,0.118,0.111,1
"ENSMUSG00000000290.13",0.0325218156215913,0.14000250110566,0.75,0.705,1
"ENSMUSG00000035248.9",0.262127102833189,0.13953811479007,0.276,0.249,1
"ENSMUSG00000040859.14",0.477541036672509,0.139537074732892,0.09,0.079,1
"ENSMUSG00000044465.19",0.0221793180157502,0.139389482423642,0.154,0.11,1
"ENSMUSG00000027533.10",0.290688857317908,0.139201315913941,0.055,0.043,1
"ENSMUSG00000025505.16",0.800942841230333,0.137689336023356,0.068,0.064,1
"ENSMUSG00000075700.9",0.0945945438634904,0.137349249738184,0.252,0.211,1
"ENSMUSG00000020253.15",0.589403762827767,0.136917802718611,0.498,0.495,1
"ENSMUSG00000031357.3",0.116692370855938,0.136869985862714,0.064,0.045,1
"ENSMUSG00000024019.18",0.391985612463736,0.136782692115025,0.191,0.174,1
"ENSMUSG00000029250.5",0.596120362256229,0.136584977727334,0.057,0.051,1
"ENSMUSG00000093385.3",0.293629966423342,0.136212422260628,0.055,0.043,1
"ENSMUSG00000074578.14",0.355921083080837,0.136023582984052,0.176,0.154,1
"ENSMUSG00000024965.9",0.106425300381478,0.136017774633954,0.61,0.563,1
"ENSMUSG00000031328.16",0.061633452908534,0.135603014874145,0.612,0.574,1
"ENSMUSG00000040188.10",0.175036477758359,0.135356530534992,0.301,0.268,1
"ENSMUSG00000054008.9",0.263129150402589,0.13531591283518,0.099,0.081,1
"ENSMUSG00000051314.11",0.0477836181431344,0.135182444321037,0.373,0.314,1
"ENSMUSG00000017561.16",0.334175616306553,0.134996487564125,0.233,0.209,1
"ENSMUSG00000031391.18",0.342417784995275,0.134950039042869,0.068,0.055,1
"ENSMUSG00000022884.16",0.291158130121358,0.134907494297573,0.294,0.267,1
"ENSMUSG00000026696.15",0.241283138517166,0.134723867761231,0.211,0.184,1
"ENSMUSG00000095687.2",0.0549558434402946,0.134308283325068,0.801,0.767,1
"ENSMUSG00000029147.11",0.522971910888731,0.13399006888808,0.11,0.1,1
"ENSMUSG00000020022.17",0.128522581728928,0.133918136423729,0.399,0.352,1
"ENSMUSG00000063234.5",0.05408007948798,0.133742247322144,0.219,0.174,1
"ENSMUSG00000023939.7",0.0088453722856427,0.133633438986329,0.39,0.308,1
"ENSMUSG00000020250.10",0.569879639813734,0.133488423087834,0.116,0.105,1
"ENSMUSG00000051510.13",0.0283802473551797,0.133337047526779,0.395,0.327,1
"ENSMUSG00000042292.18",0.0374896000470225,0.133076593616806,0.158,0.117,1
"ENSMUSG00000062382.9",0.077547434226372,0.133041034564822,0.84,0.801,1
"ENSMUSG00000042613.9",0.127403334662793,0.132406510373571,0.312,0.27,1
"ENSMUSG00000071644.10",0.0559771971438575,0.132055007434336,0.34,0.284,1
"ENSMUSG00000028607.16",0.300488921366625,0.131620950756499,0.059,0.046,1
"ENSMUSG00000025724.12",0.24583543159826,0.130512160073782,0.23,0.201,1
"ENSMUSG00000020326.7",0.24158564252233,0.130406241283729,0.103,0.083,1
"ENSMUSG00000031505.11",0.692720456396661,0.130108698061675,0.119,0.112,1
"ENSMUSG00000027430.12",0.547298889168998,0.130006622475206,0.055,0.063,1
"ENSMUSG00000030056.8",0.295048809024247,0.129821892455905,0.059,0.046,1
"ENSMUSG00000038467.15",0.109687195500424,0.129731182377354,0.524,0.466,1
"ENSMUSG00000035021.13",0.230310621200577,0.129284090629288,0.312,0.282,1
"ENSMUSG00000002768.8",0.11045055642206,0.129274999092626,0.3,0.25,1
"ENSMUSG00000020792.15",0.705426432960179,0.129235974252759,0.059,0.064,1
"ENSMUSG00000029007.8",0.150905673103437,0.128326119653307,0.349,0.31,1
"ENSMUSG00000114367.1",0.981490224989163,0.128298541333952,0.053,0.054,1
"ENSMUSG00000027287.14",0.772776003393456,0.127925740288607,0.156,0.15,1
"ENSMUSG00000050737.13",0.304547846500728,0.127568664302129,0.079,0.064,1
"ENSMUSG00000066152.11",0.112426189094396,0.127465545598545,0.59,0.534,1
"ENSMUSG00000027274.16",0.380146599491742,0.127247216125494,0.079,0.066,1
"ENSMUSG00000004980.16",0.00657345101074126,0.12679815926559,0.774,0.717,1
"ENSMUSG00000041035.9",0.172907061024227,0.125849752195748,0.11,0.088,1
"ENSMUSG00000030697.7",0.0573421713054524,0.125541066455992,0.533,0.462,1
"ENSMUSG00000051397.5",0.315569751353204,0.125124539059134,0.191,0.166,1
"ENSMUSG00000031913.9",0.586718975834126,0.125123372465665,0.092,0.083,1
"ENSMUSG00000014769.10",0.226552313159173,0.124953144174823,0.64,0.609,1
"ENSMUSG00000045165.6",0.230645843045694,0.124575534242593,0.21,0.181,1
"ENSMUSG00000020561.8",0.848889841492537,0.124042473747784,0.092,0.09,1
"ENSMUSG00000033502.15",0.417268630452204,0.12401010930857,0.066,0.055,1
"ENSMUSG00000022898.13",0.27943466734478,0.123893500693079,0.101,0.083,1
"ENSMUSG00000029840.8",0.39477326776951,0.123205472371401,0.333,0.306,1
"ENSMUSG00000022234.15",0.142881952468844,0.12217169965557,0.294,0.251,1
"ENSMUSG00000073468.12",0.0651433080174772,0.121994963054143,0.132,0.097,1
"ENSMUSG00000043207.10",0.0256868887860559,0.121919240175339,0.665,0.611,1
"ENSMUSG00000038633.5",0.0144681072361297,0.120282712886832,0.743,0.681,1
"ENSMUSG00000019188.16",0.11374008502698,0.119787492745089,0.298,0.253,1
"ENSMUSG00000044734.16",0.0367695271584579,0.119298556126385,0.914,0.879,1
"ENSMUSG00000068290.11",0.213392028089891,0.11928665747108,0.086,0.067,1
"ENSMUSG00000031479.9",0.374561769467808,0.118815393740815,0.156,0.138,1
"ENSMUSG00000018882.12",0.475468476300914,0.118740521599057,0.184,0.166,1
"ENSMUSG00000064326.13",0.491297969571788,0.118678623948197,0.204,0.189,1
"ENSMUSG00000028049.15",0.00613297937526574,0.118522995773967,0.125,0.077,1
"ENSMUSG00000116275.1",0.61197966593894,0.118242785912972,0.092,0.084,1
"ENSMUSG00000027176.8",0.271966913588705,0.118221014304455,0.07,0.055,1
"ENSMUSG00000024571.15",0.345780079160173,0.117759991194504,0.274,0.241,1
"ENSMUSG00000072501.5",0.385722996028541,0.117588119004204,0.368,0.345,1
"ENSMUSG00000062593.17",0.019801327067991,0.117217062582948,0.502,0.432,1
"ENSMUSG00000006519.11",2.02991524501384e-05,0.116941091705776,0.998,0.997,0.399467021066273
"ENSMUSG00000025314.16",0.452898803792538,0.116936001458919,0.119,0.105,1
"ENSMUSG00000015340.10",0.00154450554711199,0.1167872582946,0.991,0.975,1
"ENSMUSG00000068739.13",0.961554984766525,0.116692617566958,0.101,0.101,1
"ENSMUSG00000020621.6",0.909174820488729,0.116621732235599,0.059,0.057,1
"ENSMUSG00000018379.17",0.655905461910621,0.116599837854037,0.162,0.15,1
"ENSMUSG00000029136.9",0.238750900019069,0.116425813806248,0.061,0.046,1
"ENSMUSG00000027752.15",0.7906090393326,0.116142443659181,0.057,0.053,1
"ENSMUSG00000080076.4",0.76522052869796,0.115803994116792,0.053,0.049,1
"ENSMUSG00000030188.12",0.275718705702593,0.115187323790666,0.057,0.044,1
"ENSMUSG00000027303.18",0.141313950932137,0.115128846087448,0.099,0.075,1
"ENSMUSG00000102976.6",0.606802821573366,0.114898015288397,0.096,0.088,1
"ENSMUSG00000025393.12",0.15297884930236,0.114571786625683,0.722,0.688,1
"ENSMUSG00000024792.9",0.463093322361663,0.114531604701734,0.083,0.072,1
"ENSMUSG00000085208.3",0.764196204341059,0.114269289419062,0.061,0.057,1
"ENSMUSG00000026313.16",0.875357921894703,0.114062065047002,0.055,0.053,1
"ENSMUSG00000056941.17",0.356690441924678,0.114032721810519,0.195,0.174,1
"ENSMUSG00000032562.13",0.0188351527185316,0.113971546656147,0.954,0.927,1
"ENSMUSG00000029034.9",0.471131975239462,0.113952582628448,0.123,0.11,1
"ENSMUSG00000024309.15",0.0401292252414971,0.113867595138066,0.228,0.175,1
"ENSMUSG00000022752.9",0.167373639124603,0.113707191357278,0.158,0.128,1
"ENSMUSG00000033335.17",0.480782795168939,0.113593717281312,0.226,0.211,1
"ENSMUSG00000024829.12",0.145524683078548,0.113385884909752,0.138,0.11,1
"ENSMUSG00000039756.12",0.384769970189908,0.113362663533782,0.097,0.083,1
"ENSMUSG00000022811.17",0.194348041579035,0.113336875648911,0.081,0.062,1
"ENSMUSG00000030127.15",0.285614619601571,0.113097178339739,0.064,0.051,1
"ENSMUSG00000022634.9",0.425216404281675,0.113048736071834,0.193,0.174,1
"ENSMUSG00000024594.9",0.277228023918942,0.112840028284835,0.074,0.058,1
"ENSMUSG00000026701.15",0.0647741204705226,0.112785632483513,0.798,0.797,1
"ENSMUSG00000044068.7",0.893912103678709,0.112702642608804,0.075,0.077,1
"ENSMUSG00000018848.4",0.0410454976610316,0.112464013412094,0.103,0.071,1
"ENSMUSG00000070697.4",0.336829643780505,0.112413867223901,0.138,0.119,1
"ENSMUSG00000026309.14",0.292097607193434,0.112290533125848,0.16,0.138,1
"ENSMUSG00000068749.9",0.0101252204117146,0.112213305072208,0.395,0.309,1
"ENSMUSG00000020952.10",0.741793829139812,0.112082138126917,0.094,0.088,1
"ENSMUSG00000075000.11",0.338531948916942,0.111914249391924,0.129,0.11,1
"ENSMUSG00000043257.15",0.230221481925288,0.11143385041348,0.085,0.066,1
"ENSMUSG00000073982.11",0.0711282236512177,0.111158568455607,0.619,0.572,1
"ENSMUSG00000109781.1",0.466477707142853,0.110695165876455,0.053,0.045,1
"ENSMUSG00000014856.12",0.328367403068673,0.110567197979803,0.204,0.183,1
"ENSMUSG00000020585.4",0.141966875486113,0.110363263101486,0.421,0.37,1
"ENSMUSG00000008373.16",0.237359842349182,0.110274984256424,0.064,0.049,1
"ENSMUSG00000047417.18",0.262834591194855,0.109848556084331,0.105,0.085,1
"ENSMUSG00000020516.15",0.158213641588794,0.109758222169784,0.16,0.129,1
"ENSMUSG00000101249.1",0.967836973249277,0.109663883581488,0.77,0.756,1
"ENSMUSG00000063576.12",0.776099617729796,0.109478091379198,0.077,0.073,1
"ENSMUSG00000031556.6",0.917477861417589,0.109078687980245,0.222,0.227,1
"ENSMUSG00000014504.16",0.24348651399919,0.109068783968282,0.294,0.259,1
"ENSMUSG00000005506.16",0.47995432024031,0.108920697859359,0.114,0.101,1
"ENSMUSG00000030045.10",0.28835498827877,0.108545635210972,0.182,0.157,1
"ENSMUSG00000036599.10",0.239002573877291,0.108534724059672,0.426,0.383,1
"ENSMUSG00000074024.5",0.223687286312052,0.107687733747067,0.199,0.171,1
"ENSMUSG00000045251.13",0.383815837849286,0.107544845914992,0.074,0.061,1
"ENSMUSG00000032554.15",0.455899448816992,0.107285731695789,0.096,0.083,1
"ENSMUSG00000046908.5",0.0845254653154901,0.107179879894443,0.919,0.924,1
"ENSMUSG00000051154.11",0.853521050791614,0.107125717641901,0.193,0.189,1
"ENSMUSG00000032484.8",3.03888559014742e-07,0.107113426757056,1,1,0.00598022295285111
"ENSMUSG00000107068.1",0.255719837382498,0.107077485736943,0.119,0.099,1
"ENSMUSG00000031447.7",0.361123649299532,0.106994681801649,0.688,0.639,1
"ENSMUSG00000002332.16",0.451278940155594,0.106614105542422,0.246,0.228,1
"ENSMUSG00000074476.6",0.322568533047501,0.106546489782386,0.132,0.113,1
"ENSMUSG00000001552.14",0.60760107097166,0.106497243004906,0.088,0.081,1
"ENSMUSG00000030802.14",0.23336819411324,0.106492887031127,0.325,0.295,1
"ENSMUSG00000043733.14",0.785656697669144,0.106451710125573,0.05,0.046,1
"ENSMUSG00000117924.1",0.199379567764669,0.106377301607063,0.112,0.09,1
"ENSMUSG00000019710.13",0.279084697591777,0.106356773615208,0.21,0.184,1
"ENSMUSG00000067274.10",0.103199028504678,0.106110584996775,0.989,0.989,1
"ENSMUSG00000002064.10",0.14660694445987,0.10571253064304,0.108,0.084,1
"ENSMUSG00000050029.7",0.307797180792268,0.105676137236871,0.211,0.19,1
"ENSMUSG00000069270.6",0.660029885969707,0.105296283987458,0.107,0.099,1
"ENSMUSG00000039067.5",0.090183161205466,0.104843563717179,0.153,0.118,1
"ENSMUSG00000032216.15",0.151467119947469,0.104650226454312,0.175,0.143,1
"ENSMUSG00000070031.11",0.291729643527921,0.104215578258921,0.54,0.496,1
"ENSMUSG00000018322.10",0.264871843415245,0.103835724221966,0.127,0.104,1
"ENSMUSG00000019432.15",0.14864155037047,0.103658976228488,0.353,0.302,1
"ENSMUSG00000024644.17",0.0276498970258705,0.10337627145917,0.107,0.071,1
"ENSMUSG00000008668.15",0.175349211499118,0.103276931733593,0.636,0.566,1
"ENSMUSG00000058706.5",0.212507928335707,0.103234851603797,0.272,0.238,1
"ENSMUSG00000061167.9",0.729580803213527,0.103219569625518,0.129,0.121,1
"ENSMUSG00000029048.3",0.205704402909954,0.102566622569039,0.393,0.356,1
"ENSMUSG00000040105.3",0.072502300773783,0.102333510268851,0.05,0.03,1
"ENSMUSG00000041459.15",0.603611119038253,0.102331541552176,0.097,0.089,1
"ENSMUSG00000031378.14",0.35407841542518,0.10187180562458,0.083,0.068,1
"ENSMUSG00000024614.7",0.205132527440794,0.101817512859638,0.142,0.116,1
"ENSMUSG00000029613.15",0.485658545635937,0.101665563090125,0.072,0.083,1
"ENSMUSG00000063870.12",0.999901055033116,0.101430652412498,0.103,0.104,1
"ENSMUSG00000030304.11",0.680321960445058,0.101260674343535,0.164,0.154,1
"ENSMUSG00000024369.16",0.689590794235069,0.100725362721331,0.059,0.054,1
"ENSMUSG00000036273.15",0.0124467139011198,0.100458939503807,0.222,0.166,1
"ENSMUSG00000055319.8",0.0897747271735302,0.100254299993323,0.061,0.04,1
"ENSMUSG00000022575.5",0.339866879393295,0.0998520424146032,0.224,0.203,1
"ENSMUSG00000036943.9",0.211082826411771,0.099812369098117,0.116,0.094,1
"ENSMUSG00000028016.9",0.190564028246565,0.0988712891629847,0.285,0.247,1
"ENSMUSG00000021036.10",0.760285744632145,0.0986572366408358,0.2,0.192,1
"ENSMUSG00000028248.15",0.446943839912476,0.0986455855168831,0.23,0.213,1
"ENSMUSG00000031703.8",0.713333611761947,0.098336934367881,0.143,0.135,1
"ENSMUSG00000074340.9",0.460949739908581,0.0980383963643456,0.147,0.132,1
"ENSMUSG00000021460.17",0.100364528907881,0.0980381623488422,0.171,0.135,1
"ENSMUSG00000001847.14",0.22751712999831,0.0979357561558265,0.695,0.717,1
"ENSMUSG00000038650.15",0.117410636684241,0.0977815887177484,0.325,0.274,1
"ENSMUSG00000052085.7",0.242850138366628,0.0977314756393528,0.208,0.181,1
"ENSMUSG00000067336.6",0.352569943687406,0.0975760946204147,0.066,0.054,1
"ENSMUSG00000042572.12",0.463369010769672,0.0974679904060398,0.092,0.081,1
"ENSMUSG00000000384.15",0.892264890998167,0.097457776200697,0.07,0.072,1
"ENSMUSG00000018541.10",0.36278472499748,0.0974017963953258,0.07,0.057,1
"ENSMUSG00000002881.14",0.249016527521237,0.0973689731407106,0.101,0.082,1
"ENSMUSG00000031839.7",0.133784079622582,0.0973148062782244,0.381,0.336,1
"ENSMUSG00000026078.10",0.610475248201503,0.0972347440422847,0.303,0.29,1
"ENSMUSG00000014349.7",0.465205498128157,0.0968929545032395,0.062,0.053,1
"ENSMUSG00000040466.16",0.149781316354809,0.0966999129249726,0.114,0.089,1
"ENSMUSG00000002102.15",0.406982850273983,0.0966554787193399,0.259,0.237,1
"ENSMUSG00000063524.13",0.0439728500561977,0.0965569762517444,0.926,0.908,1
"ENSMUSG00000018171.9",0.243885100657719,0.096459102234252,0.09,0.072,1
"ENSMUSG00000030341.17",0.176908673828419,0.0961525921010821,0.36,0.319,1
"ENSMUSG00000026385.16",0.346743491043061,0.0960072025232113,0.165,0.146,1
"ENSMUSG00000021427.10",0.604532077453643,0.0958477483901876,0.118,0.128,1
"ENSMUSG00000062070.12",0.250940021184985,0.0952617254231296,0.836,0.793,1
"ENSMUSG00000056724.15",0.394689833753749,0.0951837862249554,0.096,0.082,1
"ENSMUSG00000001441.13",0.155645298995754,0.0950697977848915,0.557,0.513,1
"ENSMUSG00000037805.15",0.265263025020558,0.0947070028509187,0.739,0.726,1
"ENSMUSG00000073563.3",0.626262343996059,0.0945272443883756,0.066,0.059,1
"ENSMUSG00000018326.9",0.13445483466772,0.0945127151842803,0.601,0.558,1
"ENSMUSG00000050002.14",0.268572360238922,0.0944480882121834,0.175,0.148,1
"ENSMUSG00000031924.4",0.574171468524463,0.0942664532617266,0.055,0.048,1
"ENSMUSG00000021665.9",0.334967686195845,0.0935571595272076,0.566,0.544,1
"ENSMUSG00000032786.16",0.294936937431596,0.0932627645099956,0.254,0.223,1
"ENSMUSG00000091955.2",0.378940922129224,0.0929930696537804,0.101,0.086,1
"ENSMUSG00000040385.7",0.114878279221574,0.0928473256336613,0.906,0.869,1
"ENSMUSG00000054385.14",0.554424427450778,0.0926219370849752,0.143,0.132,1
"ENSMUSG00000036138.16",0.0456895242672498,0.0924122807036234,0.101,0.07,1
"ENSMUSG00000030846.15",0.209041757398348,0.0923045523692525,0.074,0.056,1
"ENSMUSG00000060147.15",0.0624869848077613,0.0920036149284316,0.2,0.157,1
"ENSMUSG00000112148.1",0.0244832255363015,0.091882425493369,0.54,0.471,1
"ENSMUSG00000071711.12",0.0458171723155204,0.0916564832908571,0.219,0.171,1
"ENSMUSG00000031807.10",0.0661406432848259,0.091629088235716,0.829,0.754,1
"ENSMUSG00000031729.6",0.573628879157888,0.0907332570281221,0.127,0.116,1
"ENSMUSG00000015790.16",0.194317902477337,0.0903250317516839,0.173,0.144,1
"ENSMUSG00000002778.14",0.29503010042113,0.0900353207792601,0.221,0.192,1
"ENSMUSG00000059326.7",0.167831995602573,0.089891162185135,0.467,0.418,1
"ENSMUSG00000040713.12",0.0809011205075863,0.0895425363501814,0.14,0.105,1
"ENSMUSG00000029198.3",0.326249507011442,0.0890566670316344,0.23,0.205,1
"ENSMUSG00000063696.7",0.215280855220304,0.0890449704397698,0.989,0.987,1
"ENSMUSG00000039745.8",0.676198781406724,0.0887061378232148,0.151,0.141,1
"ENSMUSG00000040865.15",0.537988658198131,0.0882249869306491,0.088,0.079,1
"ENSMUSG00000079179.9",0.68660546517836,0.0880760047113998,0.072,0.077,1
"ENSMUSG00000035227.7",0.178257196485646,0.0879115415981173,0.425,0.386,1
"ENSMUSG00000026809.15",0.672913871948308,0.0877779583840819,0.156,0.148,1
"ENSMUSG00000004897.16",0.211021524764668,0.0873767313989955,0.195,0.163,1
"ENSMUSG00000024539.17",0.442339431491709,0.0872671874472557,0.129,0.114,1
"ENSMUSG00000038312.10",0.60335531105535,0.0868873696154782,0.125,0.116,1
"ENSMUSG00000053453.9",0.388725733780777,0.0866174132876114,0.149,0.168,1
"ENSMUSG00000003134.10",0.0734528085123025,0.086396475755258,0.217,0.174,1
"ENSMUSG00000075227.6",0.674158416825256,0.0859789399424615,0.086,0.08,1
"ENSMUSG00000001248.15",0.55451478307475,0.0854438280784766,0.075,0.085,1
"ENSMUSG00000031165.6",0.340016424152846,0.0850147967095345,0.182,0.16,1
"ENSMUSG00000028692.14",0.134328562129166,0.0850139784007808,0.408,0.364,1
"ENSMUSG00000078440.10",0.0582365015093434,0.0848230257763571,0.074,0.048,1
"ENSMUSG00000039826.13",0.952674727918446,0.0845190708505932,0.077,0.076,1
"ENSMUSG00000020463.15",0.104186857062239,0.0842694390809531,0.252,0.211,1
"ENSMUSG00000007721.6",0.125977961091886,0.0838630027546219,0.182,0.149,1
"ENSMUSG00000068240.5",0.256041330428843,0.0835309508211011,0.868,0.863,1
"ENSMUSG00000029467.15",0.304271653392662,0.0835283657527566,0.145,0.123,1
"ENSMUSG00000030007.8",0.849583449201846,0.0834408736002409,0.265,0.272,1
"ENSMUSG00000057522.15",0.604269264277531,0.0833564497682271,0.248,0.233,1
"ENSMUSG00000030695.16",0.118384251009111,0.0833272963177425,0.915,0.886,1
"ENSMUSG00000024399.5",0.354665814439209,0.0829287537441418,0.693,0.652,1
"ENSMUSG00000021003.10",0.902964536692169,0.0828956290845322,0.074,0.071,1
"ENSMUSG00000047368.4",0.191559372107005,0.0826363002311079,0.103,0.081,1
"ENSMUSG00000011958.17",0.771467641790678,0.082220316603721,0.368,0.355,1
"ENSMUSG00000035171.9",0.975367131328652,0.0820549488324693,0.112,0.111,1
"ENSMUSG00000060288.13",0.23718893673889,0.0818859684015885,0.066,0.051,1
"ENSMUSG00000032265.14",0.615291186323681,0.0816684339220541,0.151,0.14,1
"ENSMUSG00000034266.6",0.853178702698816,0.0815567178922731,0.072,0.07,1
"ENSMUSG00000051650.11",0.259156168505419,0.081130519742874,0.393,0.357,1
"ENSMUSG00000024238.15",0.272055729691375,0.081102544185538,0.053,0.04,1
"ENSMUSG00000003873.11",0.319149941067646,0.0810938787085302,0.189,0.166,1
"ENSMUSG00000070605.4",0.509317941152901,0.0807020525867972,0.068,0.058,1
"ENSMUSG00000021072.12",0.583337425616874,0.0805109171810834,0.127,0.116,1
"ENSMUSG00000018507.16",0.644633604608439,0.0803036752575315,0.053,0.047,1
"ENSMUSG00000021282.17",0.295788779634494,0.0800777213657456,0.636,0.598,1
"ENSMUSG00000004665.10",0.100500058566688,0.0797823166472682,0.882,0.882,1
"ENSMUSG00000021807.6",0.559029177287955,0.0797342104443739,0.239,0.25,1
"ENSMUSG00000022124.15",0.0778704915282726,0.0796912268170766,0.096,0.068,1
"ENSMUSG00000078453.3",0.303649638960701,0.0794001581831494,0.822,0.765,1
"ENSMUSG00000002458.13",0.137588717672835,0.0793827795161887,0.608,0.535,1
"ENSMUSG00000075284.10",0.115236068822495,0.079364323583786,0.199,0.163,1
"ENSMUSG00000053604.5",0.298436105579977,0.0793470160637275,0.175,0.148,1
"ENSMUSG00000028409.11",0.100276281905821,0.0793429829438497,0.27,0.223,1
"ENSMUSG00000069014.4",0.89146066133208,0.079278982477327,0.188,0.186,1
"ENSMUSG00000021496.12",0.526754142005055,0.079264073013841,0.219,0.201,1
"ENSMUSG00000075232.6",0.886237940338956,0.0791106086314111,0.092,0.09,1
"ENSMUSG00000015290.15",0.424277997363004,0.0790937196195816,0.147,0.131,1
"ENSMUSG00000019210.10",0.169854620587234,0.0790742309929081,0.577,0.52,1
"ENSMUSG00000030884.12",0.739792571419279,0.0788968999818384,0.324,0.321,1
"ENSMUSG00000000959.7",0.686437952605697,0.0785198647804957,0.112,0.121,1
"ENSMUSG00000031010.17",0.501641271191695,0.0781495811488582,0.062,0.054,1
"ENSMUSG00000018377.10",0.882498879208032,0.0780524975124322,0.086,0.084,1
"ENSMUSG00000003037.16",0.604968413400712,0.0778330151233431,0.358,0.34,1
"ENSMUSG00000000740.12",0.192643050870749,0.0775539354320594,0.98,0.972,1
"ENSMUSG00000026568.6",0.066995341585865,0.0773105620049377,0.789,0.737,1
"ENSMUSG00000050912.15",0.309351056804668,0.0771518736869066,0.171,0.147,1
"ENSMUSG00000027531.16",0.403859055973543,0.076974965782419,0.184,0.163,1
"ENSMUSG00000021395.11",0.933598694072273,0.0769560859085816,0.075,0.074,1
"ENSMUSG00000052087.14",0.198904807945058,0.0760743741700622,0.153,0.127,1
"ENSMUSG00000019731.13",0.400445183108752,0.0760700150262119,0.101,0.086,1
"ENSMUSG00000024359.10",0.587206461226671,0.0759348255355126,0.048,0.054,1
"ENSMUSG00000024164.15",0.416665190163988,0.0758187812264754,0.483,0.453,1
"ENSMUSG00000021770.11",0.50461393843831,0.0755543081210202,0.096,0.084,1
"ENSMUSG00000041607.17",0.90251623703084,0.0751843904260161,0.055,0.054,1
"ENSMUSG00000078622.8",0.465152259531615,0.0749746378271365,0.162,0.144,1
"ENSMUSG00000014543.14",0.0430964639730576,0.0746752740114949,0.204,0.156,1
"ENSMUSG00000021484.8",0.406060512375986,0.0746552039407606,0.256,0.23,1
"ENSMUSG00000049550.17",0.211882778423624,0.0739084834528296,0.136,0.112,1
"ENSMUSG00000003308.15",0.960224149988528,0.073853179805953,0.066,0.067,1
"ENSMUSG00000105454.1",0.326780611971637,0.073572589494074,0.373,0.341,1
"ENSMUSG00000003283.15",0.207763382436177,0.0735025402370583,0.515,0.461,1
"ENSMUSG00000031221.7",0.249992313889017,0.0733098510810579,0.169,0.144,1
"ENSMUSG00000019907.10",0.154657124102249,0.0733040862116067,0.439,0.404,1
"ENSMUSG00000020994.5",0.612502052572541,0.073298400528796,0.147,0.138,1
"ENSMUSG00000020272.8",0.977111915138821,0.072989317643489,0.123,0.122,1
"ENSMUSG00000002015.5",0.286570123939663,0.0729440586535845,0.498,0.452,1
"ENSMUSG00000007041.9",0.089309248393804,0.0727060887254165,0.893,0.86,1
"ENSMUSG00000026926.14",0.135769959321791,0.0720768702559376,0.07,0.094,1
"ENSMUSG00000020640.10",0.634102733514656,0.0717342219306119,0.16,0.149,1
"ENSMUSG00000018965.11",0.243297194699773,0.0717093414123355,0.59,0.53,1
"ENSMUSG00000032294.17",0.0593971007053324,0.0716592498783224,0.938,0.944,1
"ENSMUSG00000022564.7",0.280238361022947,0.0715448899850996,0.531,0.487,1
"ENSMUSG00000020402.11",0.657647025494402,0.0713996198892877,0.279,0.265,1
"ENSMUSG00000071659.4",0.059806068666518,0.0711434887808982,0.221,0.176,1
"ENSMUSG00000019810.15",0.99473366820413,0.0709276254368016,0.121,0.121,1
"ENSMUSG00000024048.15",0.266892716747094,0.0709014629843874,0.921,0.896,1
"ENSMUSG00000019868.16",0.285959520425444,0.0698633305865237,0.219,0.194,1
"ENSMUSG00000056836.8",0.28133682610176,0.0697440379825429,0.103,0.085,1
"ENSMUSG00000023791.17",0.0601423908266521,0.0694411865504548,0.377,0.315,1
"ENSMUSG00000020720.13",0.47537375316858,0.0692650680795428,0.156,0.139,1
"ENSMUSG00000098650.1",0.302042324607476,0.0691626931311318,0.403,0.368,1
"ENSMUSG00000113061.1",0.394781487043962,0.0691044156461977,0.983,0.981,1
"ENSMUSG00000017664.16",0.386673791311533,0.0690582387740015,0.136,0.119,1
"ENSMUSG00000023074.11",0.130988650509784,0.0686072651907121,0.217,0.177,1
"ENSMUSG00000061950.17",0.461267003096113,0.0678886112945811,0.081,0.07,1
"ENSMUSG00000020372.15",0.380676107379109,0.0676808163436133,0.608,0.554,1
"ENSMUSG00000022663.3",0.346520967983988,0.0673434857042384,0.439,0.396,1
"ENSMUSG00000071657.12",0.79962471435501,0.0671461266538329,0.123,0.118,1
"ENSMUSG00000030707.15",0.0866794925186233,0.0668225384758077,0.993,0.983,1
"ENSMUSG00000020283.5",0.922128638592264,0.0668115558946911,0.055,0.054,1
"ENSMUSG00000029776.11",0.498260554602038,0.0666053952106851,0.075,0.065,1
"ENSMUSG00000022338.8",0.851262647231959,0.0665784628001425,0.105,0.108,1
"ENSMUSG00000023393.15",0.110987580524291,0.0663347909974132,0.2,0.162,1
